,potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,lat,lng,House_number,Street,Ward,District,City,progress
0,,,,,,,,,10.76342,106.70666,,Đường Lê Văn Linh,Phường 13,Quận 4,Hồ Chí Minh,True
1,,,,,,,,,10.75907,106.70657,148/2/3,Đường Tôn Đản,Phường 14,Quận 4,Hồ Chí Minh,True
2,,,,,,,,,10.75614,106.69186,346,Hẻm 333 Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
3,,,,,,,,,10.76561,106.70251,,Đường Lê Quốc Hưng,Phường 13,Quận 4,Hồ Chí Minh,True
4,,,,,,,,,19.75351,105.84161,,,Phường Quảng Tâm,Thanh Hóa,Thanh Hóa,True
5,,,,,,,,,10.76365,106.69964,132,Đường Bến Vân Đồn,Phường 6,Quận 4,Hồ Chí Minh,True
6,,,,,,,,,10.76046,106.69978,285,Đường Hoàng Diệu,Phường 6,Quận 4,Hồ Chí Minh,True
7,,,,,,,,,10.84947,106.74359,,Đường Số 22,Phường Linh Đông,Thủ Đức,Hồ Chí Minh,True
8,,,,,,,,,10.75469,106.69213,M1,Đường Tôn Thất Thuyết,Phường 1,Quận 4,Hồ Chí Minh,True
9,,,,,,,,,10.7573,106.70813,132/149,Hẻm 132 Đoàn Văn Bơ,Phường 14,Quận 4,Hồ Chí Minh,True
10,,,,,,,,,10.75553,106.69088,360A,Đường Bến Vân Đồn,Phường 1,Quận 4,Hồ Chí Minh,True
11,,,,,,,,,10.7626,106.70484,186,Đường Đoàn Văn Bơ,Phường 13,Quận 4,Hồ Chí Minh,True
12,,,,,,,,,10.76491,106.70611,48,Đường Hoàng Diệu,Phường 13,Quận 4,Hồ Chí Minh,True
13,,,,,,,,,10.75702,106.70196,29,Đường Tân Vĩnh,Phường 4,Quận 4,Hồ Chí Minh,True
14,,,,,,,,,10.75401,106.69614,12/49,Hẻm 12 Nguyễn Khoái,Phường 2,Quận 4,Hồ Chí Minh,True
15,,,,,,,,,10.76418,106.70147,20/142,Hẻm 20 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
