place_id,name,main_category,phone,website,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates,lat,lng,House_number,Street,Ward,District,City,progress,cleaned_street
ChIJXZdimTUvdTERrs5KIpDMnf0,Hoa Viên Craft Brewery,Quán bia,028 3829 0585,http://www.hoavien.vn/,"Hẻm 18 Bis/30A1, Đ. Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1","Hẻm 18 Bis/30A1, Đ. Nguyễn Thị Minh Khai",Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.785874399999999,106.6992178",10.785874399999999,106.6992178,1H,Hẻm 18 Bis Nguyễn Thị Minh Khai,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Bis Nguyễn Thị Minh Khai
ChIJWVRfzT4vdTER0PSpi9NS33s,Bia Craft East West Brewing,Nhà máy bia,0913 060 728,https://eastwestbrewing.vn/,"181 Lý Tự Trọng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh","Phường Bến Thành, Quận 1",181 Lý Tự Trọng,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7730563,106.6961223",10.7730563,106.6961223,185,Đường Lý Tự Trọng,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Lý Tự Trọng
ChIJycEc_iQvdTERGgHSAJ0sWUY,BiaCraft Lê Ngô Cát | Q.3,Quán bar,028 3933 0903,http://biacraft.com/,"1 Lê Ngô Cát, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh","Võ Thị Sáu, Quận 3",1 Lê Ngô Cát,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7763648,106.6854815",10.7763648,106.6854815,1,Đường Lê Ngô Cát,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True,Đường Lê Ngô Cát
ChIJvb9LG44pdTER02pwpLnttqI,BiaCraft Trường Sa | Q.Phú Nhuận,Nhà hàng quán rượu dành cho người sành ăn,028 3517 3000,https://biacraft.com/,"300 Đ. Trường Sa, Phường 7, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 7, Phú Nhuận",300 Đ. Trường Sa,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7961569,106.69151579999999",10.7961569,106.69151579999999,306,Đường Trường Sa,Phường 2,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Trường Sa
ChIJUx09C0ovdTERcFUp6DUgms8,YoYo Beer Garden Hồ Con Rùa,Nhà hàng,0767 143 772,https://yoyobeer.com/,"1 Công Trường Quốc Tế, Phường 6, Quận 3, Thành phố Hồ Chí Minh 76000","Phường 6, Quận 3",1 Công Trường Quốc Tế,Thành phố Hồ Chí Minh,76000.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7819401,106.695869",10.7819401,106.695869,,,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True,Đường 
ChIJK2iXB0gvdTER_Cz4jsQZqbo,Quán Bia Sệt - SỐ 2 NGUYỄN HỮU THỌ,Quán bia,0914 143 040,https://www.foody.vn/ho-chi-minh/quan-bia-set-so-2-nguyen-huu-tho,"2 Đ. Nguyễn Hữu Thọ, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh","Tân Hưng, Quận 7",2 Đ. Nguyễn Hữu Thọ,Thành phố Hồ Chí Minh,,"Quận 7, Thành phố Hồ Chí Minh",VN,"10.744565,106.70145409999999",10.744565,106.70145409999999,,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,Quận 7,Hồ Chí Minh,True,Đường Nguyễn Hữu Thọ
ChIJGwvWmd4pdTERQoI_Pd1IJbk,Xẻng - Mồi & Bia,Nhà hàng,0908 771 500,https://m.facebook.com/Xeng.Bistro/,"22 Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",22 Nguyễn Đình Chiểu,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7904926,106.7012738",10.7904926,106.7012738,,Đường Nguyễn Bỉnh Khiêm,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Bỉnh Khiêm
ChIJX1VroiYvdTERWxXb98nkKoc,324 Bia Rất Lạnh,Quán bia,028 3839 0054,https://www.facebook.com/324biaratlanh/,"324 Đ. Điện Biên Phủ, Phường 11, Quận 10, Thành phố Hồ Chí Minh","Phường 11, Quận 10",324 Đ. Điện Biên Phủ,Thành phố Hồ Chí Minh,,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7751764,106.6816959",10.7751764,106.6816959,324,Hẻm 322 Điện Biên Phủ,Phường 11,Quận 10,Hồ Chí Minh,True,Đường Điện Biên Phủ
ChIJEQD2xYAvdTERhQKsIERjXBM,Hẻm Bia : Lost in Hongkong,Quán bia sân vườn,0937 666 626,https://www.foody.vn/ho-chi-minh/hem-bia-lost-in-hongkong,"19 Đ. Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh","Phường Phạm Ngũ Lão, Quận 1",19 Đ. Phạm Ngũ Lão,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.768393099999999,106.69439279999999",10.768393099999999,106.69439279999999,175/9,Hẻm 28 Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Bùi Viện
ChIJW-V8GUIvdTERLKIdwTI6htw,iBiero Craft Beer Station,Quán bia,0912 229 900,http://ibiero.com/,"35B Nguyễn Đình Chiểu, Đa Kao, Quận 1, Thành phố Hồ Chí Minh 700000","Đa Kao, Quận 1",35B Nguyễn Đình Chiểu,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7857266,106.6971897",10.7857266,106.6971897,35A-35B,Đường Nguyễn Đình Chiểu,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Đình Chiểu
ChIJ5f1HSAMpdTER6EkE1p0DHPQ,Vựa Bia Rụ - Wine & Craft Beer Fusion,Quán rượu,0867 382 900,https://www.facebook.com/vuabiaru,"19/3 Đ. Nguyễn Thị Minh Khai, P, Quận 1, Thành phố Hồ Chí Minh 700000","P, Quận 1",19/3 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7848775,106.70039369999999",10.7848775,106.70039369999999,6,Hẻm 19 Nguyễn Thị Minh Khai,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thị Minh Khai
ChIJO5NEmqgpdTERXY_owfhQEiY,iBiero Craft Beer Station,Quán bia,028 3535 9359,https://ibiero.com/,"290 Đ. Trường Sa, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh 72200","Phường 2, Phú Nhuận",290 Đ. Trường Sa,Thành phố Hồ Chí Minh,72200.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.796004799999999,106.69166399999999",10.796004799999999,106.69166399999999,,Đường Trường Sa,Phường 2,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Trường Sa
ChIJ9ahXvRcvdTERgsVbSKC-uPc,Beer Plaza,Khu vực phục vụ bia,028 6681 2233,http://biangonnhat.com/,"129 Đ. Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh","Phường Nguyễn Cư Trinh, Quận 1",129 Đ. Cống Quỳnh,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7659302,106.68957619999999",10.7659302,106.68957619999999,131,Đường Cống Quỳnh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Cống Quỳnh
ChIJ471R6kondTERrG86BAxi4Fk,Bia Bỉ Sài Gòn,Nhà hàng,0919 564 338,https://www.facebook.com/biabisg,"17 Đ. Số 4, Khu đô thị An Phú An Khánh, Thủ Đức, Thành phố Hồ Chí Minh 700000","Khu đô thị An Phú An Khánh, Thủ Đức",17 Đ. Số 4,Thành phố Hồ Chí Minh,700000.0,"Thủ Đức, Thành phố Hồ Chí Minh",VN,"10.7923945,106.7397852",10.7923945,106.7397852,,Đường Số 4,Phường An Phú,Thủ Đức,Hồ Chí Minh,True,Đường Số 4
ChIJd-AYHRgvdTER4YuY70GBrwg,Quán Bia Khô Mực,Quán bia,0934 262 637,https://www.facebook.com/quanbiakhomuc,"4A2 Đ. Trần Hưng Đạo, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000","Phường Phạm Ngũ Lão, Quận 1",4A2 Đ. Trần Hưng Đạo,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.769701399999999,106.6966492",10.769701399999999,106.6966492,4C,Đường Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Trần Hưng Đạo
ChIJuc8_EE0vdTERvGHB-nVtxsA,Bia hơi Hà Nội,Nhà hàng Việt Nam,0846 485 555,http://biahoihanoiquan1.com/,"235B Đ. Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 700000","Phường Nguyễn Cư Trinh, Quận 1",235B Đ. Nguyễn Văn Cừ,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7618453,106.6832893",10.7618453,106.6832893,,Đường Nguyễn Văn Cừ,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Văn Cừ
ChIJt7boqcwvdTERN0Es5GmMM7k,Bia Hơi Hà Nội Victory,Nhà hàng,0867 334 190,https://victoryhotel.com.vn/,"141 Đ. Nam Kỳ Khởi Nghĩa, Phường 6, Quận 3, Thành phố Hồ Chí Minh 72407","Phường 6, Quận 3",141 Đ. Nam Kỳ Khởi Nghĩa,Thành phố Hồ Chí Minh,72407.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.780587299999999,106.6936247",10.780587299999999,106.6936247,,Đường Nam Kỳ Khởi Nghĩa,Phường Võ Thị Sáu,Quận 3,Hồ Chí Minh,True,Đường Nam Kỳ Khởi Nghĩa
ChIJcSxBjDQvdTERnu_940VQwaU,Căng tin Bia hơi Hà Nội,Nhà hàng,,,"35 Đ. Phùng Khắc Khoan, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",35 Đ. Phùng Khắc Khoan,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7863282,106.6957972",10.7863282,106.6957972,35,Đường Nguyễn Văn Thủ,Phường Đa Kao,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Văn Thủ
ChIJ5ZeYWhkpdTER9ydOwq5LfG0,Bia sệt My - 684 Trường Sa,Nhà hàng,0937 474 575,,"684 Đ. Trường Sa, Phường 17, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 17, Phú Nhuận",684 Đ. Trường Sa,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7924059,106.68241599999999",10.7924059,106.68241599999999,112A,Hẻm 129 Cao Thắng,Phường 17,Quận Phú Nhuận,Hồ Chí Minh,True,Đường Cao Thắng
ChIJl-ddvNwodTERL8m12LvhRMc,Nhà hàng Bia Tô,Nhà hàng,,,"64 Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Thành phố Hồ Chí Minh","Phường 6, Bình Thạnh",64 Nguyễn Văn Đậu,Thành phố Hồ Chí Minh,,"Bình Thạnh, Thành phố Hồ Chí Minh",VN,"10.8076859,106.6877885",10.8076859,106.6877885,64,Đường Nguyễn Văn Đậu,Phường 6,Quận Bình Thạnh,Hồ Chí Minh,True,Đường Nguyễn Văn Đậu
ChIJTWeJoG0vdTERpPrsd9AlaAE,Bia hơi Hà Nội 80A - Bia hơi 80A quận 4,Nhà hàng gia đình,0963 595 017,,"80A Đ. Bến Vân Đồn, Phường 9, Quận 4, Thành phố Hồ Chí Minh","Phường 9, Quận 4",80A Đ. Bến Vân Đồn,Thành phố Hồ Chí Minh,,"Quận 4, Thành phố Hồ Chí Minh",VN,"10.7646888,106.7015005",10.7646888,106.7015005,80A,Đường Bến Vân Đồn,Phường 9,Quận 4,Hồ Chí Minh,True,Đường Bến Vân Đồn
ChIJg-rBqBApdTERBgHlwIRLx28,Trạm beer craft,Quán bia,0938 482 003,,"59/8b Đ. Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh 71014","Phường Nguyễn Cư Trinh, Quận 1",59/8b Đ. Phạm Viết Chánh,Thành phố Hồ Chí Minh,71014.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7656982,106.68303929999999",10.7656982,106.68303929999999,1B,Hẻm 59 Phạm Viết Chánh,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True,Đường Phạm Viết Chánh
