,place_id,name,main_category,phone,website,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates,lat,lng,House_number,Street,Ward,District,City,progress
0,ChIJyf5lrRcvdTER6_Ii1NXfYhg,The View Rooftop Bar,Quán bar,+84 944 795 522,http://facebook.com/TheViewRooftopBarHCM,"The View Rooftop Bar, On the 9th floor of Duc Vuong Hotel, 195 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","Phường Phạm Ngũ Lão, Quận 1","On the 9th floor of Duc Vuong Hotel, 195 Đ. Bùi Viện",Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7657083,106.6910667",10.7657083,106.6910667,205/3,Hẻm 205 Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True
1,ChIJSR1TNkcvdTERgTKVWSWRu9k,Phatty's Bar and Grill,Bar thể thao,+84 28 3821 0796,http://www.phattysbar.vn/,"Phatty's Bar and Grill, 48 Tôn Thất Thiệp, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Bến Nghé, Quận 1",48 Tôn Thất Thiệp,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7735852,106.7022368",10.7735852,106.7022368,46-48,Hẻm 42 Đường Tôn Thất Thiệp,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True
2,ChIJ7xws_hUvdTERPhK16pDbKsU,Thi Bar Saigon,Quán bar cocktail,+84 902 727 655,http://facebook.com/thibarsaigon,"Thi Bar Saigon, 224 Đ. Đề Thám, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 77000, Việt Nam","Phường Phạm Ngũ Lão, Quận 1",224 Đ. Đề Thám,Thành phố Hồ Chí Minh,77000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7676733,106.6939433",10.7676733,106.6939433,220,Đường Đề Thám,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True
3,ChIJnUwEBkEvdTER7cxdTa9Cdqw,The Iron Bank - Cocktail Vault,Quán bar cocktail,+84 903 135 250,https://www.facebook.com/theironbankcocktailvault/,"The Iron Bank - Cocktail Vault, 47 Tôn Thất Đạm, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phường Nguyễn Thái Bình, Quận 1",47 Tôn Thất Đạm,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.770216999999999,106.70352799999999",10.770216999999999,106.70352799999999,,Đường Tôn Thất Đạm,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True
4,ChIJMe1tX6EvdTERWtS5SO5VrOI,STATION SPORT BAR,Quán bar,+84 815 135 137,https://www.facebook.com/stationsport.buivien,"STATION SPORT BAR, 135 Đ. Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phường Phạm Ngũ Lão, Quận 1",135 Đ. Bùi Viện,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7664034,106.691988",10.7664034,106.691988,121/25B,Đường Bùi Viện,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True
5,ChIJfeWvCzMvdTERxTG3wzSD2Gw,85B Cocktail Bar,Quán bar cocktail,+84 938 658 085,https://instagram.com/85bcocktailbar%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,"85B Cocktail Bar, 85B Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phường Nguyễn Cư Trinh, Quận 1",85B Trần Đình Xu,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7620174,106.68883729999999",10.7620174,106.68883729999999,4,Hẻm 85 Trần Đình Xu,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True
6,ChIJfeWvCzMvdTERxTG3wzSD2Gw,85B Cocktail Bar,Quán bar cocktail,+84 938 658 085,https://instagram.com/85bcocktailbar?igshid=OGQ5ZDc2ODk2ZA==,"85B Cocktail Bar, 85B Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phường Nguyễn Cư Trinh, Quận 1",85B Trần Đình Xu,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7620174,106.68883729999999",10.7620174,106.68883729999999,4,Hẻm 85 Trần Đình Xu,Phường Nguyễn Cư Trinh,Quận 1,Hồ Chí Minh,True
7,ChIJoamFJUQvdTERQc0jZZC7Muo,Liquid Sky Bar,Quán bar,+84 28 3822 0033,https://www.marriott.com/hotels/hotel-information/restaurant/sgnbr-renaissance-riverside-hotel-saigon/,"Liquid Sky Bar, 15 Đ. Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Bến Nghé, Quận 1",15 Đ. Tôn Đức Thắng,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7744649,106.7062995",10.7744649,106.7062995,43692,Đường Tôn Đức Thắng,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True
8,ChIJzXuEXIovdTERiE2jTdU6quE,Soul classic pub,Quán bar cocktail,+84 929 654 715,https://www.facebook.com/soulclassicpub,"Soul classic pub, 6 Đoàn Văn Bơ, Phường 9, Quận 4, Thành phố Hồ Chí Minh, Việt Nam","Phường 9, Quận 4",6 Đoàn Văn Bơ,Thành phố Hồ Chí Minh,,"Quận 4, Thành phố Hồ Chí Minh",VN,"10.7646096,106.70167839999999",10.7646096,106.70167839999999,6-8,Hẻm 20 Đoàn Văn Bơ,Phường 9,Quận 4,Hồ Chí Minh,True
9,ChIJxQRTgiQvdTERiX0Bo0JB284,Peachy Restaurant - Bar,Bar thể thao,+84 793 888 849,https://www.facebook.com/peachybarsaigon%3Fmibextid%3DLQQJ4d,"Peachy Restaurant - Bar, 83 Đ. Hồ Tùng Mậu, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000, Việt Nam","Bến Nghé, Quận 1",83 Đ. Hồ Tùng Mậu,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7721073,106.70367809999999",10.7721073,106.70367809999999,81,Đường Hồ Tùng Mậu,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True
